cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
27;AL;1998;386.0;234;26;192.0;260.0;28.0;47.0;216.0;537.0;582.0;8.0;18.0;45.0;55.0;234.0;414
27;AL;1999;353.0;252;21;202.0;273.0;29.0;47.0;338.0;499.0;554.0;7.0;30.0;55.0;54.0;368.0;382
27;AL;2000;234.0;365;30;277.0;395.0;33.0;92.0;487.0;663.0;727.0;10.0;46.0;64.0;102.0;533.0;484
27;AL;2001;184.0;456;23;369.0;480.0;29.0;95.0;557.0;775.0;830.0;11.0;31.0;54.0;106.0;589.0;604
27;AL;2002;186.0;529;30;435.0;559.0;45.0;99.0;616.0;921.0;991.0;7.0;39.0;70.0;106.0;655.0;720
27;AL;2003;157.0;586;29;476.0;615.0;34.0;58.0;591.0;972.0;1039.0;5.0;39.0;67.0;63.0;630.0;774
27;AL;2004;213.0;589;34;481.0;623.0;35.0;43.0;666.0;960.0;1035.0;9.0;42.0;75.0;52.0;708.0;754
27;AL;2005;251.0;660;36;537.0;696.0;36.0;61.0;766.0;1129.0;1203.0;8.0;46.0;74.0;69.0;812.0;909
27;AL;2006;357.0;925;55;823.0;980.0;64.0;62.0;1012.0;1514.0;1620.0;6.0;66.0;106.0;68.0;1078.0;1308
27;AL;2007;390.0;1046;56;959.0;1102.0;74.0;65.0;1179.0;1727.0;1836.0;11.0;68.0;109.0;76.0;1247.0;1552
27;AL;2008;426.0;1101;41;1018.0;1142.0;55.0;55.0;1465.0;1804.0;1887.0;3.0;71.0;83.0;58.0;1536.0;1596
27;AL;2009;544.0;1060;55;969.0;1115.0;81.0;46.0;1499.0;1762.0;1873.0;2.0;96.0;111.0;48.0;1595.0;1560
27;AL;2010;607.0;1223;64;1118.0;1287.0;88.0;42.0;1592.0;1950.0;2087.0;6.0;104.0;137.0;48.0;1696.0;1721
27;AL;2011;847.0;1260;61;1178.0;1321.0;94.0;67.0;1899.0;2106.0;2244.0;7.0;114.0;138.0;74.0;2013.0;1913
27;AL;2012;803.0;1166;65;1099.0;1231.0;100.0;73.0;1789.0;1913.0;2046.0;12.0;116.0;133.0;85.0;1905.0;1737
27;AL;2013;662.0;1250;62;1177.0;1313.0;103.0;94.0;1845.0;2005.0;2148.0;18.0;117.0;142.0;113.0;1962.0;1860
27;AL;2014;729.0;1176;67;1117.0;1243.0;85.0;71.0;1829.0;1960.0;2085.0;4.0;118.0;125.0;75.0;1947.0;1806
27;AL;2015;886.0;1009;40;928.0;1049.0;61.0;54.0;1566.0;1653.0;1748.0;1.0;90.0;95.0;55.0;1656.0;1476
27;AL;2016;748.0;1038;41;959.0;1079.0;72.0;28.0;1665.0;1718.0;1820.0;6.0;91.0;101.0;34.0;1757.0;1546
27;AL;2017;924.0;1091;43;993.0;1134.0;77.0;29.0;1636.0;1702.0;1813.0;1.0;104.0;111.0;30.0;1740.0;1526
27;AL;2018;910.0;818;25;727.0;843.0;44.0;22.0;1120.0;1374.0;1441.0;3.0;55.0;67.0;25.0;1175.0;1179
27;AL;2019;930.0;581;39;507.0;620.0;47.0;9.0;993.0;1025.0;1115.0;0.0;89.0;90.0;9.0;1082.0;833
27;AL;2020;743.0;721;39;546.0;760.0;42.0;10.0;1165.0;1203.0;1292.0;0.0;88.0;89.0;10.0;1253.0;869
27;AL;2021;1198.0;604;24;474.0;628.0;29.0;12.0;979.0;1005.0;1070.0;0.0;65.0;65.0;12.0;1044.0;736
13;AM;1996;204.0;245;16;132.0;261.0;16.0;0.0;0.0;417.0;450.0;0.0;0.0;33.0;0.0;0.0;220
13;AM;1997;187.0;257;19;124.0;277.0;13.0;36.0;353.0;433.0;468.0;4.0;25.0;33.0;40.0;380.0;202
13;AM;1998;206.0;309;33;139.0;342.0;22.0;26.0;404.0;481.0;534.0;2.0;45.0;52.0;28.0;449.0;228
13;AM;1999;203.0;292;24;137.0;316.0;19.0;33.0;422.0;475.0;527.0;4.0;45.0;51.0;38.0;467.0;222
13;AM;2000;437.0;331;21;165.0;352.0;13.0;42.0;454.0;516.0;552.0;6.0;28.0;36.0;48.0;482.0;247
13;AM;2001;497.0;258;27;124.0;285.0;15.0;50.0;371.0;430.0;485.0;8.0;45.0;55.0;58.0;416.0;199
13;AM;2002;661.0;295;17;116.0;312.0;15.0;53.0;415.0;478.0;513.0;7.0;27.0;35.0;60.0;442.0;201
13;AM;2003;826.0;324;19;111.0;343.0;14.0;47.0;465.0;523.0;558.0;5.0;30.0;35.0;52.0;495.0;171
13;AM;2004;927.0;290;19;136.0;309.0;14.0;63.0;406.0;477.0;526.0;13.0;34.0;49.0;76.0;440.0;227
13;AM;2005;1139.0;333;23;161.0;356.0;13.0;66.0;466.0;551.0;599.0;7.0;40.0;48.0;73.0;506.0;264
13;AM;2006;1223.0;402;26;237.0;428.0;22.0;77.0;551.0;646.0;699.0;18.0;33.0;53.0;95.0;584.0;379
13;AM;2007;1327.0;405;28;265.0;433.0;25.0;38.0;605.0;663.0;715.0;7.0;43.0;52.0;45.0;648.0;415
13;AM;2008;1837.0;455;26;287.0;481.0;20.0;40.0;711.0;767.0;830.0;7.0;56.0;63.0;47.0;767.0;446
13;AM;2009;1953.0;519;21;359.0;540.0;28.0;37.0;786.0;849.0;916.0;7.0;60.0;67.0;44.0;846.0;572
13;AM;2010;2373.0;602;32;405.0;634.0;28.0;71.0;920.0;1017.0;1082.0;5.0;60.0;65.0;76.0;980.0;635
13;AM;2011;1968.0;762;29;590.0;791.0;32.0;131.0;1065.0;1210.0;1292.0;15.0;66.0;81.0;146.0;1131.0;879
13;AM;2012;2013.0;684;48;508.0;732.0;52.0;121.0;1094.0;1225.0;1344.0;28.0;89.0;118.0;150.0;1183.0;855
13;AM;2013;2099.0;628;31;443.0;659.0;33.0;122.0;955.0;1095.0;1191.0;22.0;71.0;96.0;144.0;1026.0;695
13;AM;2014;2170.0;644;34;451.0;678.0;33.0;92.0;1038.0;1159.0;1240.0;13.0;64.0;80.0;105.0;1102.0;762
13;AM;2015;2389.0;755;54;549.0;809.0;44.0;100.0;1242.0;1357.0;1472.0;18.0;96.0;115.0;118.0;1338.0;930
13;AM;2016;2866.0;729;53;480.0;782.0;43.0;84.0;1231.0;1335.0;1452.0;22.0;93.0;116.0;106.0;1324.0;791
13;AM;2017;3157.0;897;46;605.0;943.0;51.0;130.0;1418.0;1559.0;1674.0;16.0;98.0;115.0;146.0;1516.0;975
13;AM;2018;3231.0;795;64;599.0;859.0;51.0;106.0;1300.0;1415.0;1542.0;15.0;110.0;127.0;121.0;1410.0;961
13;AM;2019;2200.0;861;56;628.0;917.0;49.0;172.0;1284.0;1472.0;1592.0;25.0;93.0;118.0;197.0;1377.0;981
13;AM;2020;1782.0;680;45;485.0;725.0;39.0;125.0;1093.0;1241.0;1326.0;18.0;66.0;85.0;143.0;1159.0;782
13;AM;2021;1833.0;991;60;813.0;1051.0;73.0;137.0;1505.0;1679.0;1816.0;24.0;111.0;135.0;161.0;1616.0;1272
16;AP;1996;80.0;80;11;54.0;91.0;9.0;0.0;0.0;141.0;157.0;0.0;0.0;16.0;0.0;0.0;89
16;AP;1997;51.0;80;5;31.0;85.0;6.0;13.0;73.0;128.0;140.0;2.0;7.0;12.0;15.0;80.0;57
16;AP;1998;64.0;92;5;43.0;97.0;7.0;8.0;134.0;148.0;160.0;3.0;9.0;12.0;11.0;143.0;71
16;AP;1999;55.0;113;11;41.0;124.0;5.0;10.0;163.0;175.0;192.0;1.0;16.0;17.0;11.0;179.0;60
16;AP;2000;43.0;105;2;24.0;107.0;2.0;12.0;124.0;152.0;156.0;0.0;4.0;4.0;12.0;128.0;33
16;AP;2001;41.0;108;7;21.0;115.0;1.0;13.0;155.0;170.0;182.0;2.0;9.0;12.0;15.0;164.0;43
16;AP;2002;43.0;115;5;28.0;120.0;5.0;14.0;149.0;169.0;181.0;4.0;8.0;12.0;18.0;157.0;50
16;AP;2003;38.0;125;8;51.0;133.0;5.0;9.0;159.0;170.0;185.0;2.0;12.0;15.0;11.0;171.0;70
16;AP;2004;30.0;108;8;51.0;116.0;5.0;9.0;146.0;157.0;172.0;1.0;14.0;15.0;10.0;160.0;74
16;AP;2005;26.0;117;6;33.0;123.0;5.0;20.0;159.0;181.0;196.0;2.0;13.0;15.0;22.0;172.0;55
16;AP;2006;35.0;125;3;49.0;128.0;0.0;11.0;176.0;189.0;202.0;3.0;10.0;13.0;14.0;186.0;75
16;AP;2007;26.0;107;7;40.0;114.0;5.0;17.0;132.0;160.0;172.0;4.0;8.0;12.0;21.0;140.0;60
16;AP;2008;27.0;137;4;46.0;141.0;3.0;6.0;183.0;196.0;210.0;0.0;13.0;13.0;6.0;196.0;65
16;AP;2009;23.0;104;4;43.0;108.0;3.0;9.0;158.0;178.0;190.0;2.0;10.0;12.0;11.0;168.0;69
16;AP;2010;27.0;164;4;72.0;168.0;5.0;26.0;191.0;244.0;260.0;2.0;14.0;16.0;28.0;205.0;103
16;AP;2011;25.0;112;10;53.0;122.0;9.0;24.0;163.0;190.0;209.0;3.0;16.0;19.0;27.0;179.0;80
16;AP;2012;29.0;156;8;81.0;164.0;6.0;19.0;200.0;236.0;253.0;2.0;15.0;17.0;21.0;215.0;117
16;AP;2013;65.0;139;8;69.0;147.0;6.0;25.0;162.0;206.0;225.0;2.0;15.0;19.0;27.0;177.0;104
16;AP;2014;43.0;149;13;99.0;162.0;8.0;14.0;213.0;236.0;256.0;1.0;19.0;20.0;15.0;232.0;152
16;AP;2015;50.0;159;6;96.0;165.0;7.0;12.0;251.0;275.0;293.0;3.0;13.0;18.0;15.0;264.0;154
16;AP;2016;65.0;228;5;153.0;233.0;7.0;11.0;347.0;364.0;381.0;2.0;15.0;17.0;13.0;362.0;222
16;AP;2017;89.0;224;12;112.0;236.0;9.0;22.0;328.0;356.0;383.0;2.0;23.0;27.0;24.0;351.0;177
16;AP;2018;171.0;273;6;162.0;279.0;9.0;24.0;377.0;411.0;426.0;2.0;12.0;15.0;26.0;389.0;241
16;AP;2019;77.0;242;9;167.0;251.0;10.0;8.0;330.0;342.0;361.0;1.0;17.0;19.0;9.0;347.0;228
16;AP;2020;95.0;234;10;147.0;244.0;12.0;17.0;345.0;365.0;387.0;1.0;21.0;22.0;18.0;366.0;222
16;AP;2021;98.0;305;8;217.0;313.0;11.0;10.0;428.0;443.0;462.0;0.0;18.0;19.0;10.0;446.0;314
29;BA;1996;1368.0;918;83;854.0;1001.0;120.0;0.0;0.0;1707.0;1883.0;0.0;0.0;176.0;0.0;0.0;1488
29;BA;1997;1328.0;1013;80;850.0;1093.0;98.0;14.0;120.0;1805.0;1981.0;4.0;11.0;175.0;18.0;131.0;1426
29;BA;1998;760.0;616;39;462.0;656.0;38.0;44.0;248.0;1169.0;1271.0;3.0;24.0;101.0;47.0;273.0;799
29;BA;1999;520.0;442;33;313.0;475.0;31.0;88.0;305.0;823.0;913.0;9.0;41.0;88.0;97.0;346.0;551
29;BA;2000;31.0;607;59;451.0;666.0;59.0;79.0;802.0;1108.0;1242.0;15.0;90.0;132.0;94.0;892.0;766
29;BA;2001;42.0;848;39;702.0;887.0;50.0;132.0;1130.0;1500.0;1622.0;13.0;81.0;122.0;145.0;1211.0;1129
29;BA;2002;45.0;949;65;777.0;1014.0;60.0;134.0;1209.0;1634.0;1759.0;15.0;88.0;123.0;149.0;1298.0;1220
29;BA;2003;65.0;1204;68;1008.0;1272.0;68.0;140.0;1565.0;2014.0;2166.0;18.0;100.0;152.0;158.0;1665.0;1588
29;BA;2004;69.0;1222;89;1023.0;1311.0;78.0;139.0;1704.0;2064.0;2262.0;20.0;155.0;195.0;159.0;1859.0;1590
29;BA;2005;50.0;1613;90;1319.0;1703.0;114.0;150.0;2216.0;2669.0;2881.0;22.0;164.0;211.0;172.0;2380.0;2022
29;BA;2006;75.0;1824;123;1561.0;1947.0;131.0;183.0;2624.0;3065.0;3311.0;21.0;197.0;243.0;204.0;2821.0;2402
29;BA;2007;55.0;2036;124;1770.0;2160.0;133.0;233.0;2909.0;3408.0;3659.0;27.0;207.0;249.0;260.0;3116.0;2700
29;BA;2008;61.0;2833;161;2547.0;2994.0;193.0;311.0;3876.0;4485.0;4819.0;34.0;260.0;315.0;345.0;4137.0;3828
29;BA;2009;66.0;3276;151;2971.0;3427.0;220.0;301.0;4455.0;5078.0;5432.0;32.0;284.0;345.0;333.0;4741.0;4361
29;BA;2010;98.0;3357;214;2938.0;3571.0;235.0;332.0;4781.0;5398.0;5844.0;42.0;361.0;438.0;374.0;5145.0;4439
29;BA;2011;71.0;3017;204;2636.0;3221.0;250.0;374.0;4402.0;5089.0;5549.0;40.0;375.0;449.0;415.0;4780.0;4170
29;BA;2012;111.0;3460;202;2930.0;3662.0;262.0;395.0;4989.0;5702.0;6148.0;42.0;368.0;437.0;437.0;5358.0;4594
29;BA;2013;98.0;3142;196;2727.0;3338.0;241.0;330.0;4709.0;5260.0;5694.0;42.0;362.0;423.0;372.0;5072.0;4287
29;BA;2014;144.0;3405;148;2965.0;3553.0;216.0;367.0;5095.0;5659.0;6052.0;50.0;323.0;385.0;417.0;5419.0;4671
29;BA;2015;147.0;3408;151;2866.0;3559.0;219.0;333.0;5112.0;5619.0;6012.0;42.0;331.0;382.0;375.0;5446.0;4555
29;BA;2016;215.0;4165;193;3509.0;4358.0;261.0;392.0;6132.0;6728.0;7171.0;50.0;379.0;441.0;442.0;6512.0;5449
29;BA;2017;168.0;4313;208;3444.0;4522.0;286.0;428.0;6377.0;6986.0;7487.0;55.0;417.0;487.0;484.0;6798.0;5427
29;BA;2018;232.0;3956;185;3163.0;4141.0;257.0;386.0;5717.0;6351.0;6787.0;44.0;369.0;427.0;430.0;6089.0;4977
29;BA;2019;218.0;3416;183;2880.0;3599.0;250.0;303.0;5264.0;5717.0;6118.0;30.0;358.0;396.0;333.0;5622.0;4596
29;BA;2020;210.0;4032;218;3200.0;4250.0;279.0;360.0;6124.0;6627.0;7076.0;43.0;387.0;444.0;403.0;6511.0;5088
29;BA;2021;303.0;4081;203;3267.0;4284.0;292.0;351.0;6302.0;6740.0;7206.0;51.0;401.0;463.0;402.0;6703.0;5294
23;CE;1996;320.0;405;36;192.0;443.0;29.0;0.0;0.0;793.0;885.0;0.0;0.0;84.0;0.0;0.0;351
23;CE;1997;417.0;462;33;250.0;495.0;31.0;55.0;278.0;941.0;1026.0;7.0;20.0;85.0;62.0;298.0;448
23;CE;1998;457.0;447;27;251.0;474.0;26.0;97.0;305.0;889.0;946.0;11.0;11.0;56.0;108.0;316.0;483
23;CE;1999;497.0;478;34;262.0;512.0;31.0;145.0;518.0;1012.0;1104.0;19.0;34.0;91.0;164.0;552.0;528
23;CE;2000;89.0;577;43;340.0;620.0;54.0;182.0;656.0;1131.0;1238.0;29.0;51.0;106.0;211.0;708.0;657
23;CE;2001;120.0;604;47;343.0;651.0;43.0;164.0;638.0;1170.0;1284.0;21.0;58.0;114.0;185.0;696.0;638
23;CE;2002;76.0;669;60;422.0;729.0;49.0;126.0;657.0;1320.0;1445.0;16.0;48.0;125.0;142.0;705.0;741
23;CE;2003;93.0;727;44;449.0;771.0;46.0;149.0;708.0;1460.0;1563.0;10.0;40.0;103.0;159.0;748.0;846
23;CE;2004;94.0;774;52;524.0;826.0;51.0;125.0;655.0;1459.0;1582.0;15.0;44.0;123.0;140.0;699.0;916
23;CE;2005;72.0;883;59;613.0;943.0;66.0;138.0;715.0;1555.0;1699.0;16.0;45.0;143.0;154.0;760.0;1012
23;CE;2006;79.0;890;51;642.0;941.0;43.0;148.0;907.0;1658.0;1792.0;17.0;65.0;134.0;165.0;972.0;1060
23;CE;2007;80.0;1016;50;758.0;1066.0;43.0;185.0;1283.0;1806.0;1933.0;27.0;84.0;126.0;213.0;1367.0;1224
23;CE;2008;88.0;1089;42;803.0;1131.0;48.0;176.0;1303.0;1902.0;2019.0;18.0;74.0;117.0;194.0;1377.0;1332
23;CE;2009;116.0;1130;64;917.0;1196.0;68.0;166.0;1280.0;2025.0;2165.0;25.0;80.0;138.0;191.0;1360.0;1511
23;CE;2010;122.0;1432;62;1219.0;1494.0;103.0;272.0;1600.0;2515.0;2688.0;27.0;111.0;173.0;299.0;1711.0;2057
23;CE;2011;145.0;1485;83;1257.0;1568.0;119.0;251.0;1541.0;2603.0;2792.0;24.0;106.0;189.0;275.0;1647.0;2063
23;CE;2012;160.0;2235;94;2031.0;2329.0;142.0;223.0;1811.0;3621.0;3841.0;26.0;110.0;219.0;249.0;1921.0;3135
23;CE;2013;133.0;2558;147;2377.0;2705.0;200.0;232.0;2088.0;4195.0;4473.0;34.0;125.0;278.0;266.0;2213.0;3655
23;CE;2014;162.0;2696;135;2484.0;2831.0;200.0;251.0;2362.0;4341.0;4626.0;25.0;145.0;285.0;276.0;2507.0;3795
23;CE;2015;263.0;2350;100;2166.0;2450.0;166.0;210.0;2118.0;3909.0;4163.0;21.0;154.0;254.0;231.0;2272.0;3393
23;CE;2016;298.0;1999;103;1794.0;2102.0;139.0;195.0;2363.0;3424.0;3642.0;14.0;149.0;218.0;209.0;2512.0;2908
23;CE;2017;299.0;3146;202;3030.0;3348.0;282.0;291.0;4580.0;5059.0;5433.0;32.0;325.0;374.0;323.0;4905.0;4698
23;CE;2018;302.0;2561;251;2532.0;2812.0;379.0;341.0;4051.0;4425.0;4900.0;47.0;426.0;475.0;388.0;4477.0;4204
23;CE;2019;234.0;1179;106;1108.0;1285.0;159.0;149.0;2036.0;2196.0;2417.0;21.0;199.0;221.0;170.0;2235.0;1900
23;CE;2020;262.0;2189;155;2123.0;2344.0;253.0;201.0;3457.0;3672.0;3992.0;21.0;295.0;319.0;222.0;3752.0;3443
23;CE;2021;239.0;1779;170;1768.0;1949.0;264.0;215.0;2906.0;3135.0;3471.0;36.0;299.0;336.0;251.0;3205.0;2973
53;DF;1996;402.0;308;27;268.0;335.0;32.0;0.0;0.0;562.0;615.0;0.0;0.0;52.0;0.0;0.0;435
53;DF;1997;402.0;328;21;282.0;349.0;30.0;73.0;388.0;565.0;613.0;10.0;31.0;48.0;83.0;419.0;432
53;DF;1998;439.0;354;27;316.0;381.0;35.0;73.0;415.0;579.0;633.0;13.0;37.0;54.0;86.0;452.0;474
53;DF;1999;420.0;371;31;310.0;402.0;34.0;83.0;440.0;598.0;659.0;15.0;40.0;60.0;98.0;480.0;454
53;DF;2000;129.0;388;19;334.0;407.0;23.0;97.0;533.0;644.0;687.0;7.0;32.0;41.0;104.0;565.0;501
53;DF;2001;202.0;419;28;362.0;447.0;25.0;87.0;549.0;649.0;693.0;8.0;34.0;44.0;95.0;583.0;495
53;DF;2002;239.0;385;31;338.0;416.0;29.0;80.0;503.0;591.0;641.0;13.0;36.0;50.0;93.0;539.0;469
53;DF;2003;324.0;428;26;381.0;454.0;41.0;95.0;578.0;678.0;742.0;14.0;45.0;62.0;109.0;623.0;562
53;DF;2004;332.0;410;26;360.0;436.0;29.0;101.0;538.0;642.0;696.0;8.0;43.0;52.0;109.0;582.0;506
53;DF;2005;468.0;384;19;317.0;403.0;25.0;81.0;519.0;610.0;657.0;14.0;32.0;47.0;95.0;551.0;452
53;DF;2006;455.0;374;25;305.0;399.0;33.0;70.0;537.0;611.0;660.0;9.0;39.0;49.0;79.0;576.0;435
53;DF;2007;579.0;409;22;352.0;431.0;28.0;94.0;550.0;656.0;711.0;13.0;41.0;55.0;107.0;591.0;516
53;DF;2008;673.0;457;35;390.0;492.0;38.0;98.0;644.0;748.0;812.0;7.0;57.0;64.0;105.0;701.0;579
53;DF;2009;753.0;487;36;450.0;523.0;43.0;105.0;692.0;806.0;882.0;14.0;61.0;76.0;119.0;753.0;666
53;DF;2010;785.0;420;32;379.0;452.0;42.0;85.0;630.0;720.0;786.0;15.0;50.0;66.0;100.0;680.0;576
53;DF;2011;893.0;455;38;405.0;493.0;44.0;94.0;723.0;823.0;902.0;16.0;61.0;79.0;110.0;784.0;657
53;DF;2012;1111.0;480;37;432.0;517.0;42.0;83.0;785.0;875.0;954.0;11.0;63.0;77.0;94.0;849.0;725
53;DF;2013;1338.0;430;35;382.0;465.0;39.0;69.0;681.0;759.0;837.0;12.0;66.0;78.0;81.0;747.0;593
53;DF;2014;1613.0;427;26;388.0;453.0;30.0;105.0;664.0;783.0;843.0;13.0;46.0;60.0;118.0;710.0;631
53;DF;2015;1649.0;360;22;310.0;382.0;24.0;120.0;551.0;682.0;742.0;13.0;45.0;58.0;133.0;598.0;489
53;DF;2016;1540.0;379;30;336.0;409.0;31.0;121.0;569.0;696.0;760.0;11.0;53.0;64.0;132.0;622.0;516
53;DF;2017;1425.0;308;17;256.0;325.0;25.0;109.0;452.0;564.0;610.0;12.0;34.0;46.0;121.0;486.0;401
53;DF;2018;1233.0;257;13;210.0;271.0;20.0;97.0;372.0;473.0;530.0;18.0;35.0;55.0;115.0;408.0;329
53;DF;2019;1028.0;226;18;169.0;244.0;20.0;83.0;339.0;425.0;480.0;18.0;36.0;55.0;101.0;375.0;257
53;DF;2020;1379.0;207;12;144.0;219.0;16.0;107.0;306.0;418.0;453.0;15.0;20.0;35.0;122.0;326.0;248
53;DF;2021;1376.0;160;8;112.0;168.0;15.0;69.0;277.0;355.0;401.0;18.0;27.0;46.0;87.0;304.0;193
32;ES;1996;597.0;518;54;351.0;573.0;63.0;0.0;0.0;1067.0;1191.0;0.0;0.0;123.0;0.0;0.0;661
32;ES;1997;887.0;667;58;526.0;725.0;67.0;105.0;262.0;1287.0;1416.0;16.0;20.0;128.0;121.0;283.0;955
32;ES;1998;1066.0;816;64;669.0;880.0;93.0;156.0;328.0;1508.0;1675.0;22.0;32.0;163.0;178.0;360.0;1161
32;ES;1999;1041.0;752;63;664.0;815.0;80.0;208.0;554.0;1396.0;1524.0;22.0;45.0;128.0;230.0;599.0;1121
32;ES;2000;96.0;692;52;576.0;744.0;63.0;237.0;624.0;1322.0;1435.0;23.0;49.0;113.0;260.0;673.0;1004
32;ES;2001;95.0;723;60;609.0;784.0;80.0;222.0;680.0;1319.0;1452.0;33.0;58.0;132.0;255.0;738.0;1019
32;ES;2002;110.0;862;74;760.0;936.0;88.0;261.0;742.0;1494.0;1644.0;29.0;71.0;149.0;290.0;813.0;1221
32;ES;2003;133.0;836;57;699.0;893.0;71.0;293.0;816.0;1487.0;1629.0;42.0;67.0;141.0;335.0;883.0;1179
32;ES;2004;123.0;875;61;761.0;936.0;80.0;227.0;859.0;1482.0;1619.0;33.0;69.0;137.0;260.0;928.0;1188
32;ES;2005;140.0;839;65;726.0;904.0;101.0;213.0;924.0;1453.0;1602.0;30.0;90.0;149.0;243.0;1014.0;1189
32;ES;2006;181.0;904;78;787.0;982.0;100.0;211.0;1008.0;1578.0;1762.0;44.0;103.0;183.0;255.0;1111.0;1294
32;ES;2007;169.0;929;79;823.0;1008.0;111.0;245.0;1081.0;1691.0;1877.0;32.0;116.0;186.0;277.0;1197.0;1363
32;ES;2008;151.0;1024;89;937.0;1113.0;124.0;234.0;1123.0;1756.0;1947.0;30.0;129.0;190.0;264.0;1252.0;1495
32;ES;2009;170.0;1057;107;974.0;1164.0;130.0;219.0;1215.0;1769.0;1985.0;32.0;152.0;216.0;251.0;1367.0;1548
32;ES;2010;191.0;957;79;875.0;1036.0;94.0;231.0;1171.0;1618.0;1792.0;34.0;128.0;174.0;265.0;1299.0;1359
32;ES;2011;241.0;918;87;887.0;1005.0;105.0;201.0;1105.0;1505.0;1672.0;40.0;104.0;167.0;241.0;1209.0;1352
